43.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
21:00:35.18 (18501987)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:35.18 (18845535)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:35.18 (19268667)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:35.18 (20484276)|SOQL_EXECUTE_BEGIN|[19]|Aggregations:0|SELECT id, name, Brief_Description__c, Keywords__c, Active__c FROM Survey__c WHERE id = :tmpVar1
21:00:35.18 (26284260)|SOQL_EXECUTE_END|[19]|Rows:1
21:00:35.18 (27174190)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:35.18 (27560574)|SOQL_EXECUTE_BEGIN|[21]|Aggregations:0|SELECT id, name, Brief_Description__c, Keywords__c, Active__c FROM Survey__c LIMIT 1000
21:00:35.18 (31392788)|SOQL_EXECUTE_END|[21]|Rows:2
21:00:35.18 (31503252)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:35.18 (33036830)|SOQL_EXECUTE_BEGIN|[25]|Aggregations:0|SELECT id, Possible_Answers__c, tdc_tsw__Next_Question__c, Next_Question__r.Question_Label__c, Next_Question__r.Question__c FROM Answer__c WHERE Question__r.Survey__c = :tmpVar1
21:00:35.18 (42446348)|SOQL_EXECUTE_END|[25]|Rows:4
21:00:35.18 (44280877)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:35.18 (45337133)|SOQL_EXECUTE_BEGIN|[30]|Aggregations:1|SELECT id, Question__c, Question_Text__c, First_Question__c, Question_Label__c, Object__c, (SELECT id, Possible_Answers__c, Question__c, Default__c, Next_Question__c FROM Answers__r) FROM Question__c WHERE Survey__c = :tmpVar1
21:00:35.18 (54356451)|SOQL_EXECUTE_END|[30]|Rows:5
21:00:35.18 (56651850)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:35.18 (57333213)|SOQL_EXECUTE_BEGIN|[36]|Aggregations:0|SELECT id, Question__c, Question_Text__c, First_Question__c, Question_Label__c, Object__c FROM Question__c WHERE (Survey__c = :tmpVar1 AND First_Question__c = TRUE)
