43.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
21:00:28.7 (7777558)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (8135280)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (8637576)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (10709800)|SOQL_EXECUTE_BEGIN|[19]|Aggregations:0|SELECT id, name, Brief_Description__c, Keywords__c, Active__c FROM Survey__c WHERE id = :tmpVar1
21:00:28.7 (15258813)|SOQL_EXECUTE_END|[19]|Rows:0
21:00:28.7 (15807791)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (16149345)|SOQL_EXECUTE_BEGIN|[21]|Aggregations:0|SELECT id, name, Brief_Description__c, Keywords__c, Active__c FROM Survey__c LIMIT 1000
21:00:28.7 (20881956)|SOQL_EXECUTE_END|[21]|Rows:2
21:00:28.7 (20989521)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (24717285)|SOQL_EXECUTE_BEGIN|[25]|Aggregations:0|SELECT id, Possible_Answers__c, tdc_tsw__Next_Question__c, Next_Question__r.Question_Label__c, Next_Question__r.Question__c FROM Answer__c WHERE Question__r.Survey__c = :tmpVar1
21:00:28.7 (30020137)|SOQL_EXECUTE_END|[25]|Rows:0
21:00:28.7 (30681644)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (32004371)|SOQL_EXECUTE_BEGIN|[30]|Aggregations:1|SELECT id, Question__c, Question_Text__c, First_Question__c, Question_Label__c, Object__c, (SELECT id, Possible_Answers__c, Question__c, Default__c, Next_Question__c FROM Answers__r) FROM Question__c WHERE Survey__c = :tmpVar1
21:00:28.7 (35696274)|SOQL_EXECUTE_END|[30]|Rows:0
21:00:28.7 (36427379)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (37149373)|SOQL_EXECUTE_BEGIN|[36]|Aggregations:0|SELECT id, Question__c, Question_Text__c, First_Question__c, Question_Label__c, Object__c FROM Question__c WHERE (Survey__c = :tmpVar1 AND First_Question__c = TRUE)
21:00:28.7 (41244018)|SOQL_EXECUTE_END|[36]|Rows:0
21:00:28.7 (41455128)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (41544258)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (41604103)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (109184997)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (109306877)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (111117726)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (111170677)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (121613867)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (121691190)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (123740811)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (123794035)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (125328569)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (125385318)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (127385522)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (127438601)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (129373980)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (129428069)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (131370761)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (131423994)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (138169371)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (138260434)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (139951912)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (140005229)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (142428370)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (142487476)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (146585996)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (146646034)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (159764640)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (159833978)|ENTERING_MANAGED_PKG|tdc_tsw
21:00:28.7 (179332969)|ENTERING_MANAGED_PKG|tdc_tsw
